A00009-SII  |ARMANANTA EKA PUTRA, PT                                     ||2009.00119            |2020-09-30|LE MINERALE                   |TIRTA FRESHINDO JAYA, PT                                    |1350002
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2101.00099            |2021-01-31|NO DROP READY MIX             |AVIA AVIAN, PT                                              |70664000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2102.00114            |2021-02-28|NO DROP READY MIX             |AVIA AVIAN, PT                                              |8833000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2102.00115            |2021-02-28|SUPERSILK ANTI NODA           |AVIA AVIAN, PT                                              |220000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2102.00116            |2021-02-28|NO DROP READY MIX             |AVIA AVIAN, PT                                              |220000000
A00062-SII  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2102.00117            |2021-02-28|SUNGUARD ALL IN ONE           |AVIA AVIAN, PT                                              |220000000
A00062-SSI  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2012.00106            |2020-12-31|NO DROP READY MIX             |AVIA AVIAN, PT                                              |5500000
A00062-SSI  |ANUGRAH CIPTA KARYATAMA, PT                                 ||2102.00041            |2021-02-24|NO DROP READY MIX             |AVIA AVIAN, PT                                              |495000000
A00109-BLI  |ASIA MEDIA PRISMA, PT                                       ||2101.00003            |2021-01-12|KEMENPERIN                    |KEMENPERIN                                                  |880000000
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2011.00066            |2020-11-26|SPRINGKLE                     |NOVELL PHARMACEUTICAL LABORATORIES, PT                      |19440000
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2011.00067            |2020-11-26|COOLING 5 PLUS                |NOVELL PHARMACEUTICAL LABORATORIES, PT                      |40046400
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2011.00068            |2020-11-26|ORSLIM                        |ETERCON PHARMA, PT                                          |40046400
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2011.00069            |2020-11-26|KENSHIN                       |NOVELL PHARMACEUTICAL LABORATORIES, PT                      |40046400
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2011.00149            |2020-11-30|SEPTIAIR & SEPTIWIPES         |ETERCON PHARMA, PT                                          |24300000
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2011.00150            |2020-11-30|APPETON 60+                   |BIOMED, PT                                                  |112023000
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2012.00159            |2020-12-31|ABC ALKALINE                  |INTERNATIONAL CHEMICAL INDUSTRY, PT                         |128520000
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2012.00160            |2020-12-31|SEPTIAIR & SEPTIWIPES         |ETERCON PHARMA, PT                                          |726000000
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2101.00100            |2021-01-31|ABC ALKALINE                  |INTERNATIONAL CHEMICAL INDUSTRY, PT                         |130900000
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2102.00119            |2021-02-28|NUTRA FOR CHOL                |NOVELL PHARMACEUTICAL LABORATORIES, PT                      |100870000
A00109-SII  |ASIA MEDIA PRISMA, PT                                       ||2102.00120            |2021-02-28|ABC ALKALINE                  |INTERNATIONAL CHEMICAL INDUSTRY, PT                         |130900000
A00110-SII  |AKBAR MANDIRI ABADI, PT                                     ||1103.00359            |2011-03-31|SHUNDA PLAFON                 ||4424320
A00110-SII  |AKBAR MANDIRI ABADI, PT                                     ||1104.00043A           |2011-04-30|SHUNDA PLAFON                 ||1210680
A00205-BLI  |ALAZKA KOMUNIKASI GLOBAL, PT                                ||1404.00427            |2014-04-30|LEMBAGA SENSOR FILM           |LEMBAGA SENSOR FILM                                         |2200000
A00205-BLI  |ALAZKA KOMUNIKASI GLOBAL, PT                                ||1405.00398            |2014-05-31|LEMBAGA SENSOR FILM           |LEMBAGA SENSOR FILM                                         |2200000
A00233-SII  |AMANAH BERSAMA UMMAT, PT                                    ||1705.00223            |2017-05-31|ABU TOUR                      |ABU TOUR                                                    |205000001
A00240-SII  |ADHIKARSA CITRA SENTOSA, PT                                 ||1508.00043            |2015-08-18|LIQUO 8+                      |ADHIKARSA CITRA SENTOSA. PT                                 |27000000
A00242-SII  |ARTHA MEDIA INDONESIA, PT                                   ||2011.00194            |2020-11-30|JF SULFUR                     |GALENIUM PHARMASIA LABORATORIES, PT                         |450000
A00242-SII  |ARTHA MEDIA INDONESIA, PT                                   ||2012.00114            |2020-12-31|JF SULFUR                     |GALENIUM PHARMASIA LABORATORIES, PT                         |22000000
A00259-SII  |ASAPUTEX JAYA, PT                                           ||1704.00092            |2017-04-27|SARUNG POHON KURMA            |ASAPUTEX JAYA. PT                                           |107100000
A00259-SII  |ASAPUTEX JAYA, PT                                           ||1704.00093            |2017-04-27|SARUNG POHON KURMA            |ASAPUTEX JAYA. PT                                           |216000000
A00259-SSI  |ASAPUTEX JAYA, PT                                           ||1704.00158            |2017-04-30|SARUNG POHON KURMA            |ASAPUTEX JAYA. PT                                           |243000000
A00259-SSI  |ASAPUTEX JAYA, PT                                           ||1705.00010            |2017-05-29|SARUNG POHON KURMA            |ASAPUTEX JAYA. PT                                           |270000000
A00267-SII  |ALIANI SETIA ABADI, PT                                      ||1909.00248            |2019-09-30|KDPDTT                        |KEMENTERIAN DESA,PEMBANGUNAN DAERAH TERTINGGAL&TRANSMIGRASI |87636364
A00270-BTI  |ADZIKRA, PT                                                 ||1903.00091            |2019-03-28|TRAVEL UMROH ADZIKRA          |ADZIKRA, PT                                                 |22000000
A00270-BTI  |ADZIKRA, PT                                                 ||1904.00340            |2019-04-30|TRAVEL UMROH ADZIKRA          |ADZIKRA, PT                                                 |11000000
A00280-BLI  |ABADY PRASADA JAYA, PT                                      ||1901.00136            |2019-01-29|PAPARAN KINERJA PRESIDEN I    |ABADY PRASADA JAYA. PT                                      |500000183
A00280-SII  |ABADY PRASADA JAYA, PT                                      ||1904.00008            |2019-04-16|PARTAI HANURA                 |PARTAI HANURA                                               |1591035709
A00280-SII  |ABADY PRASADA JAYA, PT                                      ||1904.00072            |2019-04-18|JIMLY ASSHIDIQIE              ||298000000
A00280-SII  |ABADY PRASADA JAYA, PT                                      ||1904.00073            |2019-04-18|JIMLY ASSHIDIQIE              ||702000000
A00280-SII  |ABADY PRASADA JAYA, PT                                      ||1904.00307            |2019-04-30|REPUBLIKA                     |REPUBLIKA                                                   |82500000
A00299-BLI  |AKSARA AMANAH MURABIH, PT                                   ||2101.00001            |2021-01-06|DERMA PRO CLINIC              ||1300000
A00299-BLI  |AKSARA AMANAH MURABIH, PT                                   ||2101.00015            |2021-01-19|DERMA PRO CLINIC              ||1300000
A00299-BLI  |AKSARA AMANAH MURABIH, PT                                   ||2102.00003            |2021-02-02|DERMA PRO CLINIC              ||1300000
A00299-BLI  |AKSARA AMANAH MURABIH, PT                                   ||2102.00004            |2021-02-02|DERMA PRO CLINIC              ||600000
A00302-SII  |ALIYA SINAR PRATAMA, PT                                     ||2101.00031            |2021-01-27|KEMENTERIAN KOORDINATOR BIDANG|KEMENTERIAN KOORDINATOR BIDANG PEREKONIMIAN RI              |30000000
B00001-SII  |BAKRIE BROTHERS, PT                                         ||05.004.0213-08        |2008-05-31|PSA  HARI KEBANGKITAN NASIONAL||396000000
B00001-SII  |BAKRIE BROTHERS, PT                                         ||0912.00379            |2009-12-31|BAKRIE & BROTHERS             ||160000
B00002-SSI  |BAKRIE NIRWANA SEMESTA, PT                                  ||03.004.0182-08        |2008-03-31|BAKRIELAND DEVELOPMENT        ||600000
B00003-SII  |BAKRIELAND DEVELOPMENT TBK, PT                              ||0906.00304            |2009-06-30|EPICENTRUM                    ||77000000
B00003-SII  |BAKRIELAND DEVELOPMENT TBK, PT                              ||0908.00058            |2009-08-31|EPICENTRUM                    ||38500000
B00003-SII  |BAKRIELAND DEVELOPMENT TBK, PT                              ||0910.00094            |2009-10-31|BAKRIELAND                    ||1000000
B00003-SII  |BAKRIELAND DEVELOPMENT TBK, PT                              ||1108.00153            |2011-08-31|BAKRIELAND                    ||2000000
B00003-SII  |BAKRIELAND DEVELOPMENT TBK, PT                              ||1110.00030            |2011-10-31|REUNI ITB                     ||484849
B00006-SII  |BANK RAKYAT INDONESIA                                       ||1209.00120            |2012-09-30|BRI CORPORATE                 |BANK RAKYAT INDONESIA, PT                                   |84500000
B00007-BLI  |BATU KARYA MAS                                              ||12.004.0059-08        |2008-12-09|KEBIJAKAN BBM & HEMAT ENERGI  ||2100000
B00008-SII  |BINTANG MEDIA, PT                                           ||010.0040054-06        |2006-10-31|SOKLIN 2000                   ||1144674
B00009-SII  |BLUE EAGLE PRODUCTIONS, PT                                  ||1003.00394            |2010-03-31|ANDI MALLARANGENG             ||204442182
B00009-SII  |BLUE EAGLE PRODUCTIONS, PT                                  ||1004.00079            |2010-04-30|ANDI MALLARANGENG             ||754488000
B00009-SII  |BLUE EAGLE PRODUCTIONS, PT                                  ||1005.00186            |2010-05-31|ANDI MALLARANGENG             ||500000000
B00009-SII  |BLUE EAGLE PRODUCTIONS, PT                                  ||CF9.004.297-08A       |2008-09-30|CANCELATION FEE PARTAI DEMOKRA||144000000
B00011-SII  |BROADCAST DESIGN INDONESIA                                  ||006.0040333-06        |2006-06-30|JESSYLYN K.CAKES              ||3300000
B00011-SII  |BROADCAST DESIGN INDONESIA                                  ||010.0040222-06        |2006-10-31|BROADCAST DESIGN INDONESIA    ||20533328
B00012-SII  |BUMI RESOURCES TBK                                          ||0902.00481            |2009-02-28|BUMI RESOURCES                ||6000000
B00012-SII  |BUMI RESOURCES TBK                                          ||0904.01152            |2009-04-30|BUMI RESOURCES                ||2722222
B00012-SII  |BUMI RESOURCES TBK                                          ||12.004.0048-08        |2008-12-05|BUMI RESOURCES                ||11666666
B00012-SSI  |BUMI RESOURCES TBK                                          ||0901.00202            |2009-01-31|BUMI RESOURCES                ||3980000
B00012-SSI  |BUMI RESOURCES TBK                                          ||11.004.0051-08        |2008-11-05|BUMI RESOURCES                ||5033333
B00017-SII  |BINA MUSIK DAERAH, PT                                       ||0901.00221            |2009-01-31|BINTANG MUSIK DAERAH          ||89300000
B00021-SII  |BADAN NARKOTIKA NASIONAL (BNN)                              ||0905.00069            |2009-05-31|BNN                           ||1500000
B00022-SII  |BANK NEGARA INDONESIA, PT                                   ||0910.00185            |2009-10-31|BNI                           ||33000000
B00022-SSI  |BANK NEGARA INDONESIA, PT                                   ||2102.00092            |2021-02-28|BNI                           |BANK NEGARA INDONESIA, PT                                   |150000000
B00028-BLI  |BERKAH FAJAR MENTARI, PT                                    ||1003.00235            |2010-03-31|DENGEUE BAE                   ||127630345
B00030-BTI  |BAKRIE TELECOM                                              ||0908.00178            |2009-08-31|ESIA                          ||33000000
B00030-SII  |BAKRIE TELECOM                                              ||1206.00114            |2012-06-30|ESIA                          ||35013175
B00030-SII  |BAKRIE TELECOM                                              ||1206.00330            |2012-06-30|ESIA                          ||40000000
B00030-SII  |BAKRIE TELECOM                                              ||1209.00011            |2012-09-30|ESIA                          |BAKRIE TELECOM TBK, PT                                      |25920000
B00030-SSI  |BAKRIE TELECOM                                              ||1208.00367            |2012-08-31|ESIA                          |BAKRIE TELECOM TBK, PT                                      |190080000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2011.00021            |2020-11-26|SUPERSOL                      |MULTI INDOMANDIRI. PT                                       |1344000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2011.00022            |2020-11-26|WIZ 24                        |GROUP WINGS                                                 |546000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2011.00065            |2020-11-26|ISOPLUS                       |TIRTA CITRA NUSANTARA, PT                                   |4787040
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2011.00143            |2020-11-30|ISOPLUS                       |TIRTA CITRA NUSANTARA, PT                                   |4592386
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2012.00073            |2020-12-28|WIZ 24                        |GROUP WINGS                                                 |120120000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2012.00105            |2020-12-31|SUPERSOL                      |MULTI INDOMANDIRI. PT                                       |73920000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2012.00150            |2020-12-31|SEDAAP MIE PADANG             |GROUP WINGS                                                 |111342000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2012.00151            |2020-12-31|ISOPLUS                       |TIRTA CITRA NUSANTARA, PT                                   |131484988
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2012.00152            |2020-12-31|UNICEF                        |GROUP WINGS                                                 |138600000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2012.00153            |2020-12-31|MIE SUKSES S                  |GROUP WINGS                                                 |136752000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2012.00154            |2020-12-31|ISOPLUS                       |TIRTA CITRA NUSANTARA, PT                                   |274627569
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2101.00005            |2021-01-25|WINGS UNICEF                  |GROUP WINGS                                                 |57750000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2101.00006            |2021-01-25|WIZ 24                        |GROUP WINGS                                                 |55440000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2101.00018            |2021-01-25|SO KLIN WINGS UNICEF          |GROUP WINGS                                                 |34650000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2101.00030            |2021-01-27|GIV HIJAB                     |MULTI INDOMANDIRI. PT                                       |41580000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2101.00092            |2021-01-31|MAMA LEMON                    |LION WINGS, PT                                              |110880000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2101.00093            |2021-01-31|CIPTADENT TB                  |LION WINGS, PT                                              |55440000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2101.00094            |2021-01-31|MIE SUKSES S                  |GROUP WINGS                                                 |121968000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2101.00095            |2021-01-31|ISOPLUS                       |TIRTA CITRA NUSANTARA, PT                                   |254801727
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2102.00023            |2021-02-24|SK PEMUTIH                    |GROUP WINGS                                                 |55440000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2102.00024            |2021-02-24|SO KLIN WINGS UNICEF          |GROUP WINGS                                                 |69300000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2102.00025            |2021-02-24|WINGS UNICEF                  |GROUP WINGS                                                 |57750000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2102.00110            |2021-02-28|POSH DEO LOTION               |LION WINGS, PT                                              |55440000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2102.00111            |2021-02-28|MIE SUKSES S                  |GROUP WINGS                                                 |162624000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2102.00112            |2021-02-28|MAMA LEMON                    |LION WINGS, PT                                              |129360000
B00031-SII  |BINTANG MEDIA MANDIRI                                       ||2102.00113            |2021-02-28|ISOPLUS                       |TIRTA ALAM SEGAR, PT                                        |242668312
B00041-SII  |BANK INDONESIA                                              ||2009.00158            |2020-09-30|BANK INDONESIA                |BANK INDONESIA                                              |1
B00067-BTI  |BAKRIE SWASAKTI UTAMA, PT                                   ||1101.00296A           |2011-01-31|EPISENTRUM WALK               ||55440000
B00067-BTI  |BAKRIE SWASAKTI UTAMA, PT                                   ||1102.00296A           |2011-02-28|EPICENTRUM WALK               ||52800000
B00067-BTI  |BAKRIE SWASAKTI UTAMA, PT                                   ||1103.00340            |2011-03-31|EPISENTRUM WALK               ||60720000
B00067-BTI  |BAKRIE SWASAKTI UTAMA, PT                                   ||1206.00384            |2012-06-30|EPISENTRUM WALK               ||18330400
B00067-SII  |BAKRIE SWASAKTI UTAMA, PT                                   ||1108.00372            |2011-08-31|BAKRIE SWASAKTI UTAMA         ||24200000
B00067-SII  |BAKRIE SWASAKTI UTAMA, PT                                   ||1109.00108            |2011-09-30|BAKRIE SWASAKTI UTAMA         ||30800000
B00076-BLI  |BUANA SURYA KREASINDO, PT                                   ||1112.00003            |2011-12-05|CARGLOSS MOTOCROSS            ||30000000
B00079-SII  |BAKRIE HOTEL DAN RESORT                                     ||1109.00283            |2011-09-30|BAKRIE HOTEL & RESORT         ||48400000
B00129-BLI  |BUDAYA ANAK NEGERI, PT                                      ||1912.00010            |2019-12-10|KEMENKES                      |KEMENTERIAN KESEHATAN RI                                    |180000000
B00129-SII  |BUDAYA ANAK NEGERI, PT                                      ||1911.00200            |2019-11-30|BKKBN                         |BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL          |30000000
B00136-SII  |BANGUN INDONESIA SEHAT, PT                                  ||1407.00508            |2014-07-31|SUSU HAJI SEHAT               |BANGUN INDONESIA SEHAT. PT                                  |13200000
B00136-SII  |BANGUN INDONESIA SEHAT, PT                                  ||1407.00543            |2014-07-31|SUSU HAJI SEHAT               |BANGUN INDONESIA SEHAT. PT                                  |382800000
B00136-SII  |BANGUN INDONESIA SEHAT, PT                                  ||1408.00036            |2014-08-31|SUSU HAJI SEHAT               |BANGUN INDONESIA SEHAT. PT                                  |130000000
B00145-BTI  |BRIDGESTONE, PT                                             ||1501.00117            |2015-01-31|BRIDGESTONE                   |BRIDGESTONE, PT                                             |22000000
B00155-SII  |BENDAHARA PENGELUARAN MAJELIS MPR RI                        ||2006.00027            |2020-06-15|MPR RI                        |BENDAHARA PENGELUARAN MAJELIS MPR RI                        |5400000
B00212-BLI  |BAWANA OPTIMUS SOLUTIONS, PT                                ||1911.00255            |2019-11-30|ALODOKTER                     |ALODOKTER                                                   |1
B00212-SII  |BAWANA OPTIMUS SOLUTIONS, PT                                ||2012.00062            |2020-12-17|PUPR                          |KEMENPUPR                                                   |1
B00227-SII  |BENDAHARA DISKOMINFO SULSEL                                 ||2005.00012            |2020-05-18|PEMPROV SULAWESI SELATAN      |BENDAHARA DISKOMINFO SULSEL                                 |198000000
B00228-SII  |BANK BNI SYARIAH, PT                                        ||2005.00127            |2020-05-29|BNI SYARIAH                   ||1
B00231-SII  |BENDAHARA BPG 018 DITJEN INFORMASI DAN KOMUNIKASI PUBLIK KEM||2006.00020            |2020-06-26|KEMENTERIAN KOMUNIKASI DAN INF|BENDAHARA BPG 018 DITJEN INFORMASI DAN KOMUNIKASI PUBLIK KEM|1
B00233-BLI  |BHANDA GHARA REKSA, PT                                      ||2008.00027            |2020-08-14|PT. BHANDA GHARA REKSA        |BHANDA GHARA REKSA. PT                                      |20000000
B00234-BLI  |BENDAHARA PENGELUARAN PUSAT PENGUATAN KARAKTER              ||2010.00160            |2020-10-31|KEMENDIKBUD                   |BENDAHARA PENGELUARAN PUSAT PENGUATAN KARAKTER              |1
